feature,mean_abs_shap_fraud
V14,8.133566413386234
V10,3.657080705250755
V3,3.280956864941335
V12,2.2513903781483653
V4,1.8259237668954922
V7,1.5444842558131833
V18,1.2173317511637316
V5,1.1400623704738593
V11,0.7647424070301356
V17,0.761359520239464
V24,0.5389239635827209
V8,0.45820047708417183
V26,0.4393886900490529
V16,0.40933199046270824
Amount,0.3903562818794705
Time,0.38604836318779057
anomaly_score,0.37767287851070497
V28,0.32178708042865983
V20,0.1898215241036984
V22,0.18031112956437262
V9,0.14227296663962521
V1,0.142110476106619
V21,0.12332761067620227
V19,0.12324794520142207
V15,0.11282366353298903
V2,0.1096165974092843
V13,0.1047504649451028
V27,0.10399268007971123
V6,0.09065573761687215
V23,0.08415579897812585
V25,0.08383866779518194
