model,precision,recall,f1_score,f2_score,mcc,cohen_kappa,balanced_accuracy,roc_auc,pr_auc
LGBM_Calibrated_Isotonic,0.9069767441860465,0.8387096774193549,0.8715083798882681,0.851528384279476,0.8719755675323883,0.8713064616143937,0.9192844941974287,0.9887655842877591,0.8807249540892363
LGBM_ClassWeights,0.8404255319148937,0.8494623655913979,0.8449197860962567,0.8476394849785408,0.8446769096484787,0.8446647923013089,0.9245992868352326,0.9888950219722596,0.8796355250395056
XGB_Calibrated_Sigmoid,0.8191489361702128,0.8279569892473119,0.8235294117647058,0.8261802575107297,0.8232510563935496,0.8232392464118342,0.9138290125351274,0.9817225290970053,0.8790907551410755
XGB_Calibrated_Isotonic,0.9024390243902439,0.7956989247311828,0.8457142857142858,0.8149779735682819,0.8471582051179741,0.8454778353159068,0.8977791178533426,0.9855291694298635,0.8787778767169605
Voting_LGBM_XGB_RF,0.8586956521739131,0.8494623655913979,0.8540540540540541,0.8512931034482759,0.8538291648308418,0.8538166503608261,0.9246168729632948,0.989567265899798,0.8723908425298084
XGB_ScalePosWeight,0.7079646017699115,0.8602150537634409,0.7766990291262136,0.8247422680412371,0.7799963767053063,0.7762982971704548,0.9298173557686944,0.9837177982394585,0.8668399119044093
XGB_Baseline,0.925,0.7956989247311828,0.8554913294797688,0.8185840707964602,0.8577051511933547,0.855272771033982,0.8977967039814048,0.9801486651845154,0.8505874831517938
RF_Calibrated_Isotonic,0.9358974358974359,0.7849462365591398,0.8538011695906432,0.8111111111111111,0.8568960826610468,0.8535830657746123,0.8924291529594144,0.9588007130513087,0.8495018965872684
RF_Baseline,0.9367088607594937,0.7956989247311828,0.8604651162790697,0.8203991130820399,0.8631280847584011,0.860255508785862,0.8978054970454359,0.9339259858490291,0.8488409695022191
RF_ClassWeights,0.96,0.7741935483870968,0.8571428571428571,0.8053691275167785,0.8619102922894112,0.8569342827341386,0.8870703950014551,0.9393432696847867,0.8460418103217767
LR_Baseline,0.8169014084507042,0.6236559139784946,0.7073170731707317,0.654627539503386,0.7133688069073314,0.7069026922101321,0.8117136471568431,0.9848127710840184,0.721263902837974
EasyEnsemble,0.038869257950530034,0.946236559139785,0.07467119219346627,0.1669195751138088,0.18764082550534694,0.07175946399166644,0.9539845722382356,0.9920809476237832,0.7114700325669914
LR_ClassWeights,0.060124395300621976,0.9354838709677419,0.11298701298701298,0.23914238592633316,0.23389926688480203,0.11025686669975954,0.9557833684015855,0.9907081895951012,0.689561845657537
BalancedBagging_Hybrid,0.08201581027667984,0.8924731182795699,0.1502262443438914,0.29985549132947975,0.2677692330826567,0.1476770916011737,0.9380678026549002,0.9758963205092639,0.5845941170692586
